"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2019","1,947.00","1,947.00","1,947.00","1,947.00","-","-3.33%"
"Jul 24, 2019","2,014.00","2,014.00","2,014.00","2,014.00","-","-6.97%"
"Jul 23, 2019","2,165.00","2,165.00","2,165.00","2,165.00","-","-1.19%"
"Jul 22, 2019","2,191.00","2,191.00","2,191.00","2,191.00","-","0.97%"
"Jul 19, 2019","2,170.00","2,170.00","2,170.00","2,170.00","-","1.88%"
"Jul 18, 2019","2,130.00","2,130.00","2,130.00","2,130.00","-","3.20%"
"Jul 17, 2019","2,064.00","2,064.00","2,064.00","2,064.00","-","2.64%"
"Jul 16, 2019","2,011.00","2,011.00","2,011.00","2,011.00","-","4.30%"
"Jul 15, 2019","1,928.00","1,928.00","1,928.00","1,928.00","-","3.38%"
"Jul 12, 2019","1,865.00","1,865.00","1,865.00","1,865.00","-","2.70%"
"Jul 11, 2019","1,816.00","1,816.00","1,816.00","1,816.00","-","2.19%"
"Jul 10, 2019","1,777.00","1,777.00","1,777.00","1,777.00","-","1.02%"
"Jul 09, 2019","1,759.00","1,759.00","1,759.00","1,759.00","-","1.97%"
"Jul 08, 2019","1,725.00","1,725.00","1,725.00","1,725.00","-","-0.86%"
"Jul 05, 2019","1,740.00","1,740.00","1,740.00","1,740.00","-","2.35%"
"Jul 04, 2019","1,700.00","1,700.00","1,700.00","1,700.00","-","9.75%"
"Jul 03, 2019","1,549.00","1,549.00","1,549.00","1,549.00","-","7.12%"
"Jul 02, 2019","1,446.00","1,446.00","1,446.00","1,446.00","-","4.71%"
"Jul 01, 2019","1,381.00","1,381.00","1,381.00","1,381.00","-","1.99%"
"Jun 28, 2019","1,354.00","1,354.00","1,354.00","1,354.00","-","1.04%"
"Jun 27, 2019","1,340.00","1,340.00","1,340.00","1,340.00","-","1.75%"
"Jun 26, 2019","1,317.00","1,317.00","1,317.00","1,317.00","-","2.89%"
"Jun 25, 2019","1,280.00","1,280.00","1,280.00","1,280.00","-","1.75%"
"Jun 24, 2019","1,258.00","1,258.00","1,258.00","1,258.00","-","1.53%"
"Jun 21, 2019","1,239.00","1,239.00","1,239.00","1,239.00","-","3.77%"
"Jun 20, 2019","1,194.00","1,194.00","1,194.00","1,194.00","-","1.27%"
"Jun 19, 2019","1,179.00","1,179.00","1,179.00","1,179.00","-","3.88%"
"Jun 18, 2019","1,135.00","1,135.00","1,135.00","1,135.00","-","3.84%"
"Jun 17, 2019","1,093.00","1,093.00","1,093.00","1,093.00","-","0.74%"
"Jun 14, 2019","1,085.00","1,085.00","1,085.00","1,085.00","-","2.17%"
"Jun 13, 2019","1,062.00","1,062.00","1,062.00","1,062.00","-","-1.67%"
"Jun 12, 2019","1,080.00","1,080.00","1,080.00","1,080.00","-","-2.26%"
"Jun 11, 2019","1,105.00","1,105.00","1,105.00","1,105.00","-","-1.78%"
"Jun 10, 2019","1,125.00","1,125.00","1,125.00","1,125.00","-","-1.14%"
"Jun 07, 2019","1,138.00","1,138.00","1,138.00","1,138.00","-","0.00%"
"Jun 06, 2019","1,138.00","1,138.00","1,138.00","1,138.00","-","-0.26%"
"Jun 05, 2019","1,141.00","1,141.00","1,141.00","1,141.00","-","1.69%"
"Jun 04, 2019","1,122.00","1,122.00","1,122.00","1,122.00","-","1.72%"
"Jun 03, 2019","1,103.00","1,103.00","1,103.00","1,103.00","-","0.64%"
"May 31, 2019","1,096.00","1,096.00","1,096.00","1,096.00","-","-0.09%"
"May 30, 2019","1,097.00","1,097.00","1,097.00","1,097.00","-","-0.90%"
"May 29, 2019","1,107.00","1,107.00","1,107.00","1,107.00","-","2.31%"
"May 28, 2019","1,082.00","1,082.00","1,082.00","1,082.00","-","1.50%"
"May 24, 2019","1,066.00","1,066.00","1,066.00","1,066.00","-","-0.19%"
"May 23, 2019","1,068.00","1,068.00","1,068.00","1,068.00","-","0.85%"
"May 22, 2019","1,059.00","1,059.00","1,059.00","1,059.00","-","0.95%"
"May 21, 2019","1,049.00","1,049.00","1,049.00","1,049.00","-","0.77%"
"May 20, 2019","1,041.00","1,041.00","1,041.00","1,041.00","-","0.10%"
"May 17, 2019","1,040.00","1,040.00","1,040.00","1,040.00","-","0.78%"
"May 16, 2019","1,032.00","1,032.00","1,032.00","1,032.00","-","0.00%"
"May 15, 2019","1,032.00","1,032.00","1,032.00","1,032.00","-","-1.05%"
"May 14, 2019","1,043.00","1,043.00","1,043.00","1,043.00","-","1.66%"
"May 13, 2019","1,026.00","1,026.00","1,026.00","1,026.00","-","1.28%"
"May 10, 2019","1,013.00","1,013.00","1,013.00","1,013.00","-","4.00%"
