"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2019","1,418.60","1,414.85","1,424.75","1,413.65","-","0.26%"
"Jul 25, 2019","1,414.95","1,425.35","1,433.95","1,411.15","-","-0.74%"
"Jul 24, 2019","1,425.45","1,417.55","1,429.80","1,416.95","-","0.56%"
"Jul 23, 2019","1,417.45","1,424.25","1,430.45","1,414.70","-","-0.48%"
"Jul 22, 2019","1,424.30","1,425.95","1,430.35","1,423.05","-","-0.11%"
"Jul 21, 2019","1,425.85","1,426.30","1,429.35","1,424.45","-","-0.03%"
"Jul 19, 2019","1,426.30","1,444.25","1,446.65","1,421.25","-","-1.24%"
"Jul 18, 2019","1,444.25","1,426.05","1,454.35","1,415.90","-","1.28%"
"Jul 17, 2019","1,425.95","1,406.65","1,431.45","1,401.45","-","1.37%"
"Jul 16, 2019","1,406.65","1,417.15","1,417.95","1,402.65","-","-0.74%"
"Jul 15, 2019","1,417.15","1,418.05","1,419.85","1,409.25","-","-0.06%"
"Jul 14, 2019","1,418.05","1,417.50","1,421.55","1,414.75","-","0.03%"
"Jul 12, 2019","1,417.65","1,405.65","1,418.65","1,404.85","-","0.85%"
"Jul 11, 2019","1,405.75","1,423.90","1,428.95","1,403.15","-","-1.28%"
"Jul 10, 2019","1,423.95","1,397.35","1,424.35","1,391.95","-","1.91%"
"Jul 09, 2019","1,397.25","1,396.35","1,401.95","1,388.15","-","0.06%"
"Jul 08, 2019","1,396.40","1,397.95","1,409.85","1,393.95","-","-0.11%"
"Jul 07, 2019","1,397.95","1,401.55","1,403.85","1,395.05","-","-0.26%"
"Jul 05, 2019","1,401.60","1,423.75","1,423.95","1,388.95","-","-1.54%"
"Jul 04, 2019","1,423.55","1,421.25","1,426.65","1,412.85","-","0.17%"
"Jul 03, 2019","1,421.15","1,434.35","1,439.95","1,415.05","-","-0.92%"
"Jul 02, 2019","1,434.30","1,388.35","1,438.95","1,386.75","-","3.30%"
"Jul 01, 2019","1,388.45","1,394.90","1,399.95","1,384.85","-","-0.47%"
"Jun 30, 2019","1,395.05","1,412.50","1,412.50","1,387.50","-","-1.24%"
"Jun 28, 2019","1,412.50","1,414.05","1,427.75","1,408.75","-","-0.12%"
"Jun 27, 2019","1,414.15","1,414.05","1,415.25","1,401.85","-","0.18%"
"Jun 26, 2019","1,411.60","1,407.20","1,413.30","1,405.80","0.08K","-0.23%"
"Jun 25, 2019","1,414.90","1,418.10","1,433.30","1,418.10","0.11K","0.04%"
"Jun 24, 2019","1,414.30","1,406.00","1,420.60","1,402.10","0.13K","1.30%"
"Jun 21, 2019","1,396.20","1,406.00","1,406.00","1,390.30","0.04K","0.24%"
"Jun 20, 2019","1,392.90","1,381.50","1,389.70","1,379.50","0.08K","3.59%"
"Jun 19, 2019","1,344.60","1,344.00","1,344.00","1,344.00","0.13K","-0.15%"
"Jun 18, 2019","1,346.60","1,349.30","1,349.30","1,341.60","0.03K","0.59%"
"Jun 17, 2019","1,338.70","1,339.00","1,340.30","1,335.00","0.08K","-0.10%"
"Jun 14, 2019","1,340.10","1,345.40","1,355.40","1,339.30","0.91K","0.07%"
"Jun 13, 2019","1,339.20","1,331.60","1,341.10","1,331.60","0.16K","0.55%"
"Jun 12, 2019","1,331.90","1,326.90","1,334.50","1,326.90","0.14K","0.41%"
"Jun 11, 2019","1,326.40","1,328.40","1,328.40","1,319.10","0.20K","0.13%"
"Jun 10, 2019","1,324.70","1,335.80","1,336.50","1,324.10","0.27K","-1.23%"
"Jun 07, 2019","1,341.20","1,333.10","1,347.70","1,329.80","0.24K","0.27%"
"Jun 06, 2019","1,337.60","1,330.80","1,338.70","1,326.20","0.16K","0.70%"
"Jun 05, 2019","1,328.30","1,328.90","1,343.30","1,326.30","0.62K","0.37%"
"Jun 04, 2019","1,323.40","1,324.30","1,328.60","1,320.80","0.30K","0.05%"
"Jun 03, 2019","1,322.70","1,307.00","1,327.80","1,307.00","0.81K","1.29%"
"May 31, 2019","1,305.80","1,287.70","1,306.40","1,287.50","2.81K","1.45%"
"May 30, 2019","1,287.10","1,279.40","1,288.30","1,273.90","55.57K","0.48%"
"May 29, 2019","1,281.00","1,278.90","1,285.20","1,278.40","189.69K","0.31%"
"May 28, 2019","1,277.10","1,283.50","1,286.90","1,275.10","362.16K","-0.61%"
"May 27, 2019","1,284.95","1,284.25","1,286.85","1,283.25","-","0.06%"
"May 26, 2019","1,284.15","1,284.20","1,285.15","1,283.65","-","0.04%"
"May 24, 2019","1,283.60","1,283.20","1,284.70","1,280.10","218.71K","-0.14%"
"May 23, 2019","1,285.40","1,273.30","1,287.10","1,272.10","330.16K","0.88%"
"May 22, 2019","1,274.20","1,274.40","1,277.10","1,272.00","191.37K","0.08%"
"May 21, 2019","1,273.20","1,277.70","1,277.70","1,269.00","213.17K","-0.32%"
"May 20, 2019","1,277.30","1,277.60","1,278.80","1,273.30","212.18K","0.13%"
"May 17, 2019","1,275.70","1,287.20","1,289.00","1,274.60","264.57K","-0.82%"
"May 16, 2019","1,286.20","1,297.70","1,299.30","1,284.20","282.07K","-0.89%"
"May 15, 2019","1,297.80","1,298.00","1,301.70","1,293.60","247.52K","0.12%"
"May 14, 2019","1,296.30","1,300.80","1,304.20","1,294.30","222.05K","-0.42%"
"May 13, 2019","1,301.80","1,288.30","1,302.20","1,282.40","379.44K","1.12%"
"May 10, 2019","1,287.40","1,285.00","1,290.30","1,283.90","238.64K","0.17%"
"May 09, 2019","1,285.20","1,281.90","1,289.20","1,280.40","306.55K","0.30%"
"May 08, 2019","1,281.40","1,285.60","1,292.80","1,280.20","302.69K","-0.33%"
"May 07, 2019","1,285.60","1,282.40","1,287.30","1,279.10","251.09K","0.14%"
"May 06, 2019","1,283.80","1,281.80","1,287.40","1,278.10","244.34K","0.20%"
"May 03, 2019","1,281.30","1,271.60","1,283.90","1,269.00","280.32K","0.73%"
"May 02, 2019","1,272.00","1,278.50","1,279.40","1,267.30","282.50K","-0.95%"
"May 01, 2019","1,284.20","1,285.20","1,289.40","1,274.50","275.43K","-0.12%"
"Apr 30, 2019","1,285.70","1,281.90","1,288.20","1,281.50","239.44K","0.33%"
"Apr 29, 2019","1,281.50","1,289.00","1,289.10","1,279.90","208.96K","-0.57%"
"Apr 26, 2019","1,288.80","1,279.10","1,290.90","1,276.00","278.89K","0.71%"
"Apr 25, 2019","1,279.70","1,277.90","1,284.80","1,275.20","237.15K","0.02%"
"Apr 24, 2019","1,279.40","1,274.40","1,280.70","1,270.50","246.05K","0.49%"
"Apr 23, 2019","1,273.20","1,277.00","1,278.50","1,267.90","280.34K","-0.34%"
"Apr 22, 2019","1,277.60","1,278.00","1,281.90","1,275.70","136.44K","-0.02%"
"Apr 19, 2019","1,277.90","1,277.90","1,277.90","1,277.90","-","0.15%"
"Apr 18, 2019","1,276.00","1,276.20","1,279.70","1,273.00","229.63K","-0.06%"
"Apr 17, 2019","1,276.80","1,279.50","1,282.10","1,275.20","223.36K","-0.03%"
"Apr 16, 2019","1,277.20","1,290.80","1,291.70","1,275.50","326.51K","-1.09%"
"Apr 15, 2019","1,291.30","1,294.00","1,295.20","1,285.30","232.99K","-0.30%"
"Apr 12, 2019","1,295.20","1,295.80","1,299.10","1,293.20","192.49K","0.15%"
"Apr 11, 2019","1,293.30","1,312.40","1,313.10","1,292.90","324.74K","-1.57%"
"Apr 10, 2019","1,313.90","1,308.20","1,314.70","1,304.70","218.88K","0.43%"
"Apr 09, 2019","1,308.30","1,301.60","1,310.40","1,300.60","200.34K","0.49%"
"Apr 08, 2019","1,301.90","1,295.80","1,307.90","1,295.50","207.57K","0.49%"
"Apr 05, 2019","1,295.60","1,296.50","1,297.80","1,288.30","231.45K","0.10%"
"Apr 04, 2019","1,294.30","1,294.40","1,298.70","1,284.90","262.54K","-0.08%"
"Apr 03, 2019","1,295.30","1,296.90","1,299.00","1,292.70","190.37K","-0.01%"
"Apr 02, 2019","1,295.40","1,292.20","1,297.10","1,289.50","196.40K","0.09%"
"Apr 01, 2019","1,294.20","1,297.20","1,301.70","1,291.00","236.66K","-0.33%"
"Mar 29, 2019","1,298.50","1,295.00","1,304.60","1,291.30","270.18K","0.25%"
"Mar 28, 2019","1,295.30","1,315.00","1,317.60","1,293.30","426.82K","-1.64%"
"Mar 27, 2019","1,316.90","1,321.70","1,325.20","1,313.70","201.61K","-0.34%"
"Mar 26, 2019","1,321.40","1,328.30","1,329.30","1,318.50","122.60K","-0.57%"
"Mar 25, 2019","1,329.00","1,319.70","1,330.80","1,317.00","85.90K","0.78%"
"Mar 22, 2019","1,318.70","1,315.40","1,320.90","1,312.80","79.64K","0.39%"
"Mar 21, 2019","1,313.60","1,318.60","1,326.30","1,309.10","61.63K","0.44%"
"Mar 20, 2019","1,307.80","1,311.80","1,323.30","1,304.30","55.44K","-0.37%"
"Mar 19, 2019","1,312.70","1,309.40","1,316.90","1,308.20","34.04K","0.38%"
"Mar 18, 2019","1,307.70","1,308.30","1,312.70","1,304.30","24.63K","-0.09%"
"Mar 15, 2019","1,308.90","1,301.90","1,312.30","1,300.10","39.41K","0.58%"
"Mar 14, 2019","1,301.40","1,315.60","1,316.60","1,299.00","31.49K","-1.09%"
"Mar 13, 2019","1,315.80","1,307.90","1,317.90","1,307.30","33.49K","0.87%"
"Mar 12, 2019","1,304.50","1,300.10","1,308.80","1,298.60","37.83K","0.53%"
"Mar 11, 2019","1,297.60","1,305.50","1,305.60","1,297.10","34.47K","-0.64%"
"Mar 08, 2019","1,306.00","1,293.20","1,307.70","1,292.20","33.72K","1.02%"
